Species,Longitude,Latitude
Caiman_yacare,-65.0681907,-14.3752957
Caiman_yacare,-64.9681907,-14.4002957
Caiman_yacare,-65.3181907,-14.4169624
Caiman_yacare,-64.8681907,-14.458629
Caiman_yacare,-65.6431907,-14.5002957
Caiman_yacare,-65.801524,-14.5169624
Caiman_yacare,-65.5681907,-14.5419624
Caiman_yacare,-65.9181907,-14.6002957
Caiman_yacare,-65.626524,-14.6002957
Caiman_yacare,-65.5348573,-14.6002957
Caiman_yacare,-64.9181907,-14.5002957
Caiman_yacare,-65.951524,-14.6502957
Caiman_yacare,-65.676524,-14.658629
Caiman_yacare,-65.1848574,-14.7002957
Caiman_yacare,-64.9681907,-14.7002957
Caiman_yacare,-65.201524,-14.7502957
Caiman_yacare,-64.776524,-14.808629
Caiman_yacare,-65.2431907,-14.8169624
Caiman_yacare,-65.1931907,-14.8252957
Caiman_yacare,-61.051524,-14.758629
Caiman_yacare,-66.476524,-14.9752957
Caiman_yacare,-61.101524,-14.9169624
Caiman_yacare,-64.7098574,-15.183629
Caiman_yacare,-64.7598574,-15.1919624
Caiman_yacare,-64.6431907,-15.308629
Caiman_yacare,-63.251524,-15.3502957
Caiman_yacare,-64.7181907,-15.3669624
Caiman_yacare,-63.2348574,-15.483629
Caiman_yacare,-64.751524,-15.583629
Caiman_yacare,-63.226524,-15.5919624
Caiman_yacare,-63.076524,-15.6169624
Caiman_yacare,-63.1848574,-15.6502957
Caiman_yacare,-63.0848574,-15.6669624
Caiman_yacare,-64.726524,-15.683629
Caiman_yacare,-64.6181907,-15.8752957
Caiman_yacare,-63.476524,-16.183629
Caiman_yacare,-63.5098574,-16.2502957
Caiman_yacare,-58.5681907,-16.4002957
Caiman_yacare,-58.501524,-16.4169624
Caiman_yacare,-58.376524,-16.458629
Caiman_yacare,-58.5181907,-16.4752957
Caiman_yacare,-58.451524,-16.508629
Caiman_yacare,-58.401524,-16.5419624
Caiman_yacare,-58.6681907,-16.5502957
Caiman_yacare,-58.501524,-16.583629
Caiman_yacare,-58.5598574,-16.6502957
Caiman_yacare,-58.6681907,-16.658629
Caiman_yacare,-58.6098574,-16.658629
Caiman_yacare,-58.4681907,-16.6669624
Caiman_yacare,-58.5598574,-16.708629
Caiman_yacare,-58.4848574,-16.733629
Caiman_yacare,-58.5098574,-16.8002957
Caiman_yacare,-58.651524,-16.8752957
Caiman_yacare,-58.601524,-16.883629
Caiman_yacare,-58.4681907,-16.908629
Caiman_yacare,-58.551524,-16.9419624
Caiman_yacare,-58.6431907,-16.9502957
Caiman_yacare,-58.5348574,-16.9919624
Caiman_yacare,-58.476524,-17.158629
Caiman_yacare,-58.626524,-17.233629
Caiman_yacare,-58.5348574,-17.2419624
Caiman_yacare,-58.4598574,-17.258629
Caiman_yacare,-58.6681907,-17.3002957
Caiman_yacare,-58.426524,-17.333629
Caiman_yacare,-58.401524,-17.383629
Caiman_yacare,-57.8598574,-17.5502957
Caiman_yacare,-58.3848574,-17.5919624
Caiman_yacare,-63.1681907,-17.7502957
Caiman_yacare,-63.1598574,-17.9169624
Caiman_yacare,-62.8681907,-21.8002957
Caiman_yacare,-62.8348574,-21.8919623
Caiman_yacare,-62.726524,-22.183629
